,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_exploration_final_eps,params_exploration_fraction,params_gamma,params_learning_rate,params_learning_starts,params_net_arch,params_subsample_steps,params_target_update_interval,params_train_freq,state
106,106,108,59:52.8,03:43.5,0 days 00:03:50.736284,256,10000,0.03755568,0.127963173,0.999,0.00062143,5000,large,1,5000,256,COMPLETE
204,204,90,28:18.5,30:59.6,0 days 00:02:41.135380,128,50000,0.090018183,0.275665041,0.999,0.001471788,5000,small,1,15000,16,COMPLETE
300,300,87,44:22.6,47:36.0,0 days 00:03:13.368413,100,10000,0.004190785,0.174098718,0.999,0.001154726,10000,large,1,5000,128,COMPLETE
424,424,87,57:47.6,01:22.7,0 days 00:03:35.148354,512,100000,0.011670703,0.003839779,0.9,0.000927796,1000,tiny,1,5000,1,COMPLETE
3386,3386,86,47:32.5,51:37.4,0 days 00:04:04.910900,512,100000,0.002780191,0.125814169,0.95,0.000600692,10000,medium,1,15000,8,COMPLETE
1986,1986,85,48:47.7,52:56.9,0 days 00:04:09.192773,512,100000,0.004207623,0.115864886,0.99,0.0009354,10000,medium,1,5000,128,COMPLETE
50,50,82,52:56.2,54:17.3,0 days 00:01:21.146615,128,1000000,0.106511616,0.119011353,0.99,0.002700566,10000,large,8,5000,16,COMPLETE
409,409,80,06:57.6,10:27.2,0 days 00:03:29.641335,512,100000,0.016948968,0.004226117,0.9,0.000793095,1000,tiny,1,5000,1,COMPLETE
238,238,79,30:07.3,33:26.1,0 days 00:03:18.825476,256,10000,0.078938151,0.104903288,0.999,0.001361205,10000,medium,1,15000,16,COMPLETE
3384,3384,79,40:48.2,45:19.6,0 days 00:04:31.316800,512,100000,0.002599312,0.134684834,0.9,0.000557413,1000,medium,1,15000,8,COMPLETE
559,559,78,07:44.0,11:21.8,0 days 00:03:37.848018,512,1000000,0.012148415,0.003352156,0.9,0.000383394,1000,small,1,20000,1,COMPLETE
3364,3364,78,03:45.3,07:56.1,0 days 00:04:10.871688,512,100000,0.002999651,0.10353244,0.9,0.000447969,1000,medium,1,5000,16,COMPLETE
442,442,77,52:35.0,56:01.2,0 days 00:03:26.243157,512,100000,0.014343209,0.003403061,0.9,0.00049871,1000,tiny,1,5000,1,COMPLETE
392,392,76,06:41.2,10:45.4,0 days 00:04:04.222815,512,10000,0.02336956,0.005041997,0.9,0.000747755,5000,medium,1,5000,16,COMPLETE
154,154,75,46:33.5,49:55.8,0 days 00:03:22.333211,256,10000,0.066526805,0.10024953,0.999,0.002873872,5000,medium,1,15000,16,COMPLETE
465,465,75,52:56.3,56:29.1,0 days 00:03:32.840397,512,100000,0.007622307,0.003647312,0.9,0.000829838,1000,tiny,1,5000,1,COMPLETE
856,856,75,31:29.2,34:53.9,0 days 00:03:24.669575,512,100000,0.01000706,0.003192154,0.9,0.001120379,1000,tiny,1,5000,16,COMPLETE
2987,2987,75,07:57.2,11:29.3,0 days 00:03:32.082826,512,10000,0.104365757,0.002951446,0.9,0.002604344,1000,tiny,1,5000,128,COMPLETE
3554,3554,75,16:18.4,20:55.8,0 days 00:04:37.317103,512,100000,0.01164545,0.007641362,0.9,0.001027623,5000,large,1,10000,8,COMPLETE
2183,2183,74,06:55.7,10:03.0,0 days 00:03:07.244267,256,100000,0.024383509,0.003779586,0.9,0.000961468,1000,small,4,5000,1,COMPLETE
453,453,72,23:20.7,26:54.3,0 days 00:03:33.682107,512,100000,0.008468219,0.005896779,0.95,0.001048927,1000,tiny,1,5000,1,COMPLETE
1934,1934,72,11:45.0,15:17.0,0 days 00:03:31.949256,512,10000,0.00873972,0.032778949,0.9,0.000716507,5000,tiny,8,5000,1,COMPLETE
798,798,71,29:46.1,33:14.8,0 days 00:03:28.628083,512,10000,0.006863534,0.004338587,0.9,0.001223716,10000,small,1,5000,16,COMPLETE
1619,1619,71,35:52.5,40:06.6,0 days 00:04:14.173982,512,100000,0.007113299,0.004565454,0.9,0.001474506,1000,medium,1,5000,16,COMPLETE
592,592,70,18:11.5,21:46.3,0 days 00:03:34.806470,512,50000,0.007487029,0.004315637,0.9,0.000971384,0,small,1,5000,1,COMPLETE
636,636,70,47:50.1,51:17.5,0 days 00:03:27.380020,512,50000,0.094156171,0.003949744,0.9,0.000683705,1000,small,1,5000,128,COMPLETE
1073,1073,70,12:46.8,16:17.2,0 days 00:03:30.340063,512,10000,0.008825672,0.004226844,0.9,0.00258438,1000,tiny,1,5000,4,COMPLETE
1105,1105,70,19:16.4,22:59.0,0 days 00:03:42.555168,512,50000,0.070460156,0.045901321,0.9,0.001676692,1000,small,2,5000,1,COMPLETE
1807,1807,70,55:17.6,58:41.7,0 days 00:03:24.177193,512,10000,0.029667204,0.032492455,0.9,0.001242009,1000,tiny,1,5000,16,COMPLETE
2055,2055,69,06:18.7,09:46.8,0 days 00:03:28.071576,512,1000000,0.024817195,0.025253365,0.99,0.001110504,5000,tiny,1,5000,16,COMPLETE
410,410,68,10:27.2,14:03.5,0 days 00:03:36.240957,512,100000,0.015997321,0.004039827,0.9,0.000711338,1000,small,1,5000,1,COMPLETE
2076,2076,68,44:39.5,48:50.1,0 days 00:04:10.625324,512,1000000,0.030201591,0.001854555,0.99,0.00210383,5000,medium,1,5000,16,COMPLETE
417,417,67,33:18.5,36:51.9,0 days 00:03:33.322928,512,100000,0.01344425,0.003906352,0.9,0.000888369,1000,tiny,1,5000,1,COMPLETE
428,428,67,11:45.3,15:15.5,0 days 00:03:30.135814,512,100000,0.0114744,0.003293507,0.9,0.000904145,1000,tiny,1,5000,1,COMPLETE
513,513,67,33:23.0,36:52.0,0 days 00:03:29.020294,512,50000,0.008129704,0.224178476,0.9,0.001194456,1000,small,1,5000,4,COMPLETE
1467,1467,67,39:19.2,42:53.0,0 days 00:03:33.796741,512,10000,0.011765847,0.005770719,0.9,0.00148185,1000,small,1,5000,4,COMPLETE
2635,2635,67,57:04.0,00:40.1,0 days 00:03:36.055681,512,50000,0.052384427,0.00267472,0.9,0.000756755,5000,small,1,5000,16,COMPLETE
538,538,66,21:33.7,25:08.6,0 days 00:03:34.862301,512,50000,0.012367855,0.002813937,0.9,0.000973115,1000,small,1,5000,1,COMPLETE
540,540,66,27:06.6,30:03.7,0 days 00:02:57.121325,32,50000,0.011770161,0.002629869,0.9,0.00090442,1000,small,1,1,1,COMPLETE
883,883,66,26:40.6,31:22.2,0 days 00:04:41.586702,512,100000,0.035392536,0.004529223,0.9999,0.001922994,1000,large,1,5000,4,COMPLETE
986,986,66,06:29.1,10:05.9,0 days 00:03:36.754057,512,10000,0.007079879,0.003028554,0.9,0.001339914,1000,tiny,1,1,16,COMPLETE
1039,1039,66,55:36.0,58:20.3,0 days 00:02:44.277158,64,50000,0.00515809,0.167554038,0.9,0.001464323,1000,small,1,10000,16,COMPLETE
3337,3337,66,14:28.3,18:03.1,0 days 00:03:34.858792,512,10000,0.01152487,0.003098766,0.999,0.001793499,5000,small,1,5000,128,COMPLETE
407,407,65,58:24.7,02:41.1,0 days 00:04:16.463537,512,100000,0.014704217,0.003787121,0.9,0.001210424,1000,medium,1,5000,1,COMPLETE
412,412,65,15:55.7,19:30.9,0 days 00:03:35.198658,512,100000,0.016809324,0.006007546,0.9,0.000739751,1000,small,1,5000,1,COMPLETE
422,422,65,50:49.3,54:16.8,0 days 00:03:27.501696,512,100000,0.013815633,0.003851439,0.9,0.000876541,1000,tiny,1,5000,1,COMPLETE
432,432,65,24:14.1,27:43.3,0 days 00:03:29.219684,512,100000,0.013890522,0.003393566,0.9,0.000790423,1000,tiny,1,5000,1,COMPLETE
969,969,65,26:35.9,30:16.5,0 days 00:03:40.593128,512,10000,0.009693546,0.113646119,0.9,0.002071242,1000,small,8,5000,1,COMPLETE
1155,1155,65,02:37.3,06:04.1,0 days 00:03:26.806823,512,50000,0.015020798,0.032633327,0.9,0.001270389,10000,tiny,1,5000,1,COMPLETE
1533,1533,65,51:06.4,54:31.6,0 days 00:03:25.230102,512,100000,0.011816361,0.005776699,0.9,0.000618587,1000,tiny,1,5000,16,COMPLETE
541,541,64,30:03.8,33:37.1,0 days 00:03:33.314499,512,50000,0.012270739,0.002496562,0.9,0.000943454,1000,small,1,5000,1,COMPLETE
3034,3034,64,30:23.1,33:58.2,0 days 00:03:35.014158,512,10000,0.011541616,0.078891894,0.9,0.000627654,1000,tiny,1,5000,1,COMPLETE
558,558,63,04:04.8,07:44.0,0 days 00:03:39.141908,512,1000000,0.012401763,0.003409879,0.9,0.000655646,1000,small,1,20000,1,COMPLETE
753,753,63,56:38.9,00:07.0,0 days 00:03:28.037409,512,1000000,0.003902836,0.003555508,0.9,0.001850098,1000,tiny,1,5000,16,COMPLETE
973,973,63,37:16.9,41:39.4,0 days 00:04:22.502144,512,100000,0.00416473,0.003400901,0.9,0.001406895,5000,medium,4,5000,1,COMPLETE
1658,1658,63,50:36.7,55:11.1,0 days 00:04:34.356040,512,100000,0.009330611,0.003426509,0.9999,0.000571781,1000,large,1,5000,16,COMPLETE
2969,2969,63,32:39.1,36:15.5,0 days 00:03:36.451388,512,1000000,0.010528209,0.001849123,0.999,0.000990228,1000,small,1,15000,16,COMPLETE
423,423,62,54:16.8,57:47.6,0 days 00:03:30.768112,512,100000,0.013629432,0.003942732,0.9,0.000867961,1000,tiny,1,5000,1,COMPLETE
485,485,62,34:31.4,38:06.0,0 days 00:03:34.586556,512,100000,0.017260302,0.004632614,0.95,0.001025167,1000,tiny,1,5000,1,COMPLETE
993,993,62,23:30.0,26:59.7,0 days 00:03:29.618996,512,10000,0.008420418,0.073021578,0.9,0.000773154,10000,tiny,1,1,16,COMPLETE
1160,1160,62,14:17.2,17:53.9,0 days 00:03:36.661494,512,50000,0.011668598,0.002213542,0.9,0.000619924,10000,small,1,5000,1,COMPLETE
1834,1834,62,46:26.3,49:50.7,0 days 00:03:24.404794,512,50000,0.004673095,0.101060572,0.9,0.001205091,1000,tiny,1,5000,16,COMPLETE
3433,3433,62,25:34.7,29:46.9,0 days 00:04:12.197465,512,100000,0.003207473,0.292251837,0.95,0.000720871,10000,medium,1,15000,8,COMPLETE
2391,2391,61,06:47.1,10:28.1,0 days 00:03:41.002117,512,10000,0.002491487,0.007865136,0.9,0.000541804,1000,small,1,5000,1,COMPLETE
76,76,60,39:15.8,42:37.1,0 days 00:03:21.332823,256,50000,0.076610601,0.111711894,0.999,0.001537308,5000,medium,1,15000,16,COMPLETE
572,572,60,34:37.3,38:14.1,0 days 00:03:36.860306,512,1000000,0.014551805,0.003758705,0.9,0.000595524,1000,small,1,20000,1,COMPLETE
1201,1201,60,34:09.7,37:31.6,0 days 00:03:21.951673,512,100000,0.00989477,0.001284826,0.9,0.00075696,1000,tiny,1,15000,16,COMPLETE
1202,1202,60,37:31.6,41:14.8,0 days 00:03:43.116590,512,10000,0.014111059,0.003492702,0.9,0.000999435,1000,small,2,1000,1,COMPLETE
1927,1927,60,56:06.0,59:13.0,0 days 00:03:06.951171,128,10000,0.010771324,0.003424741,0.9,0.000584174,1000,medium,1,5000,16,COMPLETE
341,341,59,12:27.5,15:40.1,0 days 00:03:12.640600,256,10000,0.022070704,0.019047108,0.9,0.002742514,20000,medium,1,5000,16,COMPLETE
368,368,59,10:18.5,14:27.8,0 days 00:04:09.370716,512,10000,0.021639173,0.009523405,0.9,0.001280442,1000,medium,1,5000,128,COMPLETE
552,552,59,50:19.3,53:52.9,0 days 00:03:33.590444,512,50000,0.014262105,0.002528318,0.9,0.000760046,1000,small,1,5000,1,COMPLETE
1010,1010,59,57:14.7,59:53.7,0 days 00:02:39.031053,64,50000,0.028422814,0.121750295,0.95,0.00121842,1000,tiny,1,15000,4,COMPLETE
1898,1898,59,59:00.2,02:29.7,0 days 00:03:29.573308,512,10000,0.009957516,0.003459412,0.9,0.001643487,5000,tiny,2,5000,1,COMPLETE
1939,1939,59,27:01.3,30:31.9,0 days 00:03:30.597388,512,10000,0.009962742,0.036785085,0.9,0.000722895,5000,tiny,8,5000,1,COMPLETE
2559,2559,59,28:15.0,32:00.7,0 days 00:03:45.640538,512,1000000,0.017174559,0.346407229,0.9999,0.002616021,1000,small,8,5000,1,COMPLETE
2859,2859,59,01:00.1,04:24.6,0 days 00:03:24.500933,512,10000,0.010573377,0.035681515,0.9,0.00097418,1000,tiny,1,5000,16,COMPLETE
348,348,58,30:09.7,34:10.8,0 days 00:04:01.053738,512,10000,0.025273092,0.010454154,0.9,0.001354585,20000,medium,1,5000,16,COMPLETE
414,414,58,23:00.0,26:26.7,0 days 00:03:26.639788,512,100000,0.014746262,0.006224125,0.9,0.00074161,1000,tiny,1,5000,1,COMPLETE
845,845,58,07:00.8,10:03.2,0 days 00:03:02.408380,256,10000,0.003052814,0.161620702,0.9,0.000852801,1000,tiny,1,15000,1,COMPLETE
1035,1035,58,46:24.6,49:50.5,0 days 00:03:25.952254,512,100000,0.022324827,0.113467864,0.9,0.000868698,10000,tiny,1,20000,1,COMPLETE
1088,1088,58,42:49.5,46:13.4,0 days 00:03:23.932520,512,50000,0.014047805,0.013326247,0.9,0.002168029,10000,tiny,1,5000,4,COMPLETE
2333,2333,58,17:32.6,21:12.1,0 days 00:03:39.554606,512,100000,0.021735921,0.003097368,0.98,0.002026118,1000,small,1,5000,1,COMPLETE
3064,3064,58,30:28.5,34:00.7,0 days 00:03:32.249939,128,50000,0.017890292,0.07064635,0.95,0.001828032,10000,large,1,5000,128,COMPLETE
3129,3129,58,39:58.0,44:22.3,0 days 00:04:24.319511,512,100000,0.013343764,0.097463307,0.9,0.001950088,0,medium,1,20000,1,COMPLETE
397,397,57,22:02.8,26:19.6,0 days 00:04:16.801576,512,100000,0.023978958,0.005031602,0.9,0.000865114,1000,medium,1,5000,1,COMPLETE
398,398,57,26:19.6,30:34.7,0 days 00:04:15.065603,512,50000,0.020051739,0.004922442,0.9,0.001095395,1000,medium,1,5000,1,COMPLETE
437,437,57,38:22.5,41:50.8,0 days 00:03:28.228734,512,100000,0.016724235,0.003606878,0.9,0.000682932,1000,tiny,1,5000,1,COMPLETE
1347,1347,57,29:17.0,32:51.0,0 days 00:03:33.969308,512,10000,0.026686215,0.073232526,0.9,0.001056203,0,small,1,20000,16,COMPLETE
1642,1642,57,20:34.3,24:46.5,0 days 00:04:12.181885,512,100000,0.069069846,0.003538726,0.9,0.000966753,5000,medium,1,5000,16,COMPLETE
