,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_exploration_final_eps,params_exploration_fraction,params_gamma,params_learning_rate,params_learning_starts,params_net_arch,params_subsample_steps,params_target_update_interval,params_train_freq,state
307,307,980,56:47.2,58:03.2,0 days 00:01:16.069046,256,50000,0.004476531,0.006913788,0.99,0.000102254,5000,tiny,1,20000,128,COMPLETE
4165,4165,958,52:44.6,54:02.1,0 days 00:01:17.536759,128,1000000,0.018724509,0.037248462,0.995,0.000187197,10000,tiny,1,1000,256,COMPLETE
2219,2219,948,18:07.5,19:23.5,0 days 00:01:15.991396,128,1000000,0.005733681,0.00147976,0.995,0.000140013,1000,tiny,1,5000,256,COMPLETE
251,251,947,22:03.9,23:17.3,0 days 00:01:13.413539,64,1000000,0.002622146,0.004326995,0.99,1.73E-05,1000,medium,4,20000,8,COMPLETE
3812,3812,941,59:49.4,01:09.2,0 days 00:01:19.794282,128,50000,0.005381804,0.032743482,0.98,8.77E-05,5000,tiny,1,15000,8,COMPLETE
1723,1723,883,34:28.3,35:48.9,0 days 00:01:20.556195,128,10000,0.020596151,0.004316666,0.995,0.00011432,1000,tiny,1,1,128,COMPLETE
1743,1743,871,49:16.0,50:32.9,0 days 00:01:16.849659,128,10000,0.016955527,0.067677272,0.995,9.62E-05,10000,tiny,1,1,128,COMPLETE
3824,3824,868,08:21.6,09:40.9,0 days 00:01:19.347477,128,50000,0.005864492,0.030957215,0.98,7.03E-05,5000,tiny,1,15000,8,COMPLETE
3482,3482,803,15:22.1,16:41.9,0 days 00:01:19.814716,64,10000,0.026065712,0.006047879,0.9999,9.67E-05,10000,tiny,1,20000,1,COMPLETE
1182,1182,795,07:00.1,08:07.1,0 days 00:01:06.999089,32,50000,0.044435324,0.026551972,0.98,0.000202433,1000,tiny,4,20000,4,COMPLETE
1150,1150,789,48:39.0,49:41.6,0 days 00:01:02.579646,64,50000,0.025385531,0.027030755,0.9999,0.000344713,1000,tiny,4,20000,128,COMPLETE
1728,1728,768,38:17.7,39:35.9,0 days 00:01:18.151239,128,10000,0.015892331,0.047282512,0.995,0.000149885,10000,tiny,1,1,128,COMPLETE
3811,3811,741,58:31.4,59:49.4,0 days 00:01:17.991203,128,50000,0.004924397,0.033752902,0.99,9.26E-05,5000,tiny,1,15000,8,COMPLETE
1789,1789,731,22:49.3,24:05.2,0 days 00:01:15.859490,128,10000,0.003574206,0.063270306,0.995,0.00025584,10000,tiny,1,1,128,COMPLETE
