,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_exploration_final_eps,params_exploration_fraction,params_gamma,params_learning_rate,params_learning_starts,params_net_arch,params_subsample_steps,params_target_update_interval,params_train_freq,state
3002,3002,92,39:14.3,40:13.1,0 days 00:00:58.823170,64,100000,0.012334081,0.003362905,0.99,0.039950128,10000,small,8,15000,128,COMPLETE
3015,3015,91,48:12.8,49:15.6,0 days 00:01:02.727538,32,100000,0.027676537,0.024486843,0.99,0.025809025,10000,small,8,15000,128,COMPLETE
618,618,84,02:51.9,03:44.8,0 days 00:00:52.946546,64,1000000,0.001587401,0.001461109,0.99,0.010441561,5000,tiny,2,20000,256,COMPLETE
683,683,84,48:03.7,49:13.5,0 days 00:01:09.795402,64,10000,0.117237087,0.029197258,0.99,0.017754322,5000,large,8,5000,256,COMPLETE
241,241,67,23:41.8,24:55.6,0 days 00:01:13.781855,512,10000,0.014976085,0.001198575,0.9,0.001697212,5000,small,2,15000,1,COMPLETE
13,13,65,32:36.8,33:45.4,0 days 00:01:08.613168,100,10000,0.02459608,0.001818406,0.9,0.001597146,5000,small,1,20000,256,COMPLETE
2694,2694,64,56:04.8,57:27.5,0 days 00:01:22.679614,64,10000,0.009364525,0.217063758,0.99,0.008303693,10000,small,1,1000,256,COMPLETE
983,983,63,32:51.2,34:09.6,0 days 00:01:18.400434,64,100000,0.008142361,0.068243035,0.99,0.001312065,5000,medium,1,15000,256,COMPLETE
2867,2867,58,01:47.1,02:59.9,0 days 00:01:12.761343,64,100000,0.002046769,0.057412776,0.999,0.000811603,10000,small,1,15000,256,COMPLETE
3390,3390,57,58:14.8,59:02.3,0 days 00:00:47.525351,64,10000,0.14268548,0.022136194,0.99,9.96E-05,5000,small,8,15000,1,PRUNED
3594,3594,57,31:28.7,32:05.1,0 days 00:00:36.341874,64,10000,0.114472129,0.025791634,0.98,0.001938888,10000,small,4,15000,256,PRUNED
3685,3685,57,32:46.3,33:32.5,0 days 00:00:46.201738,128,10000,0.051908471,0.184896981,0.99,0.001070866,5000,small,1,10000,8,PRUNED
3589,3589,56,28:03.3,28:46.2,0 days 00:00:42.903019,64,1000000,0.140950819,0.01637788,0.999,0.002955314,5000,small,1,15000,256,PRUNED
2627,2627,55,06:04.4,07:19.5,0 days 00:01:15.049301,64,100000,0.010001708,0.019348382,0.98,0.001661642,10000,small,1,10000,1,COMPLETE
2660,2660,55,31:14.8,31:58.6,0 days 00:00:43.705977,64,1000000,0.040450807,0.077804049,0.98,0.001236936,10000,small,1,10000,1,PRUNED
2817,2817,55,25:15.3,26:06.7,0 days 00:00:51.476816,64,100000,0.001989805,0.132863257,0.98,0.001472722,5000,large,1,15000,256,PRUNED
3031,3031,55,57:49.2,58:24.4,0 days 00:00:35.195201,32,100000,0.001369093,0.017852846,0.99,0.060528335,10000,small,8,15000,128,PRUNED
3449,3449,55,43:07.0,44:05.6,0 days 00:00:58.551136,64,100000,0.195149814,0.014562156,0.99,4.86E-05,5000,large,1,1,256,PRUNED
3779,3779,55,37:36.1,38:22.0,0 days 00:00:45.839890,64,100000,0.01340759,0.014681778,0.995,0.001174314,5000,small,1,20000,256,PRUNED
