,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_ortho_init,params_vf_coef,state
131,131,784,44:40.7,48:14.3,0 days 00:03:33.623882,relu,256,0.3,2.52E-07,0.99,0.99,1.26E-05,0.9,20,2048,medium,TRUE,2.69E-06,COMPLETE
542,542,763,53:41.3,12:04.6,0 days 00:18:23.335813,relu,32,0.3,6.48E-08,0.92,0.995,1.46E-05,0.3,20,2048,medium,TRUE,0.003245995,COMPLETE
380,380,762,12:15.0,29:39.9,0 days 00:17:24.821930,tanh,32,0.1,3.50E-08,0.99,0.99,2.55E-05,0.6,20,2048,medium,TRUE,1.57E-05,COMPLETE
407,407,758,31:12.1,38:41.3,0 days 00:07:29.212436,relu,128,0.3,1.04E-07,0.99,0.99,2.57E-05,0.7,20,2048,medium,TRUE,4.80E-06,COMPLETE
182,182,748,22:16.5,37:52.0,0 days 00:15:35.519426,tanh,32,0.1,8.04E-07,0.99,0.995,1.21E-05,0.5,20,1024,medium,TRUE,1.90E-07,COMPLETE
158,158,732,05:29.8,23:44.7,0 days 00:18:14.856324,relu,32,0.3,2.76E-07,0.99,0.995,2.24E-05,0.8,20,2048,medium,TRUE,2.74E-07,COMPLETE
501,501,730,50:50.5,06:59.8,0 days 00:16:09.324250,tanh,32,0.3,6.12E-08,0.99,0.99,2.00E-05,0.8,20,2048,medium,TRUE,0.000253663,COMPLETE
116,116,728,02:22.1,06:08.1,0 days 00:03:46.052514,relu,256,0.3,3.60E-07,0.99,0.99,2.01E-05,0.9,20,2048,medium,TRUE,1.15E-06,COMPLETE
156,156,728,36:58.9,53:54.1,0 days 00:16:55.239257,relu,32,0.3,2.25E-07,0.99,0.995,1.26E-05,0.8,20,2048,medium,TRUE,7.73E-07,COMPLETE
108,108,726,37:49.6,41:39.9,0 days 00:03:50.294546,relu,256,0.3,1.01E-07,0.99,0.99,1.75E-05,0.9,20,2048,medium,TRUE,2.85E-06,COMPLETE
497,497,722,06:34.7,22:21.9,0 days 00:15:47.242092,tanh,32,0.1,8.43E-08,0.99,0.99,1.28E-05,0.8,20,2048,medium,TRUE,1.10E-07,COMPLETE
408,408,716,38:41.3,46:32.3,0 days 00:07:50.933259,relu,128,0.3,9.84E-08,0.99,0.99,1.88E-05,0.7,20,2048,medium,TRUE,5.74E-06,COMPLETE
121,121,710,17:22.4,21:08.2,0 days 00:03:45.854900,relu,256,0.3,2.40E-07,0.99,0.99,1.36E-05,0.9,20,2048,medium,TRUE,2.80E-06,COMPLETE
173,173,710,32:23.1,48:54.0,0 days 00:16:30.872006,tanh,32,0.1,1.06E-06,0.99,0.995,2.72E-05,0.5,20,1024,medium,TRUE,5.06E-07,COMPLETE
202,202,710,56:53.6,13:54.9,0 days 00:17:01.375142,relu,32,0.3,5.71E-07,0.99,0.995,1.43E-05,0.7,20,2048,medium,TRUE,1.86E-06,COMPLETE
315,315,708,08:12.1,19:04.8,0 days 01:10:52.718671,relu,8,0.1,6.43E-08,0.99,0.995,1.30E-05,0.5,20,512,medium,TRUE,1.30E-06,COMPLETE
174,174,706,48:54.0,04:57.9,0 days 00:16:03.937161,tanh,32,0.1,1.05E-06,0.99,0.995,4.11E-05,0.5,20,1024,medium,TRUE,1.42E-07,COMPLETE
143,143,705,17:25.6,21:25.3,0 days 00:03:59.710022,relu,256,0.3,3.90E-07,0.99,0.995,1.59E-05,0.7,20,2048,medium,TRUE,2.96E-06,COMPLETE
137,137,699,01:51.0,05:23.1,0 days 00:03:32.082032,relu,256,0.3,5.94E-07,0.99,0.995,1.45E-05,0.7,20,2048,medium,TRUE,2.28E-06,COMPLETE
126,126,694,33:25.2,36:53.8,0 days 00:03:28.519889,relu,256,0.3,7.04E-07,0.99,0.99,1.78E-05,0.9,20,2048,medium,TRUE,1.45E-06,COMPLETE
44,44,690,41:28.7,54:39.1,0 days 00:13:10.421173,relu,128,0.2,1.16E-08,0.8,0.999,1.72E-05,0.3,20,64,large,TRUE,0.000197173,COMPLETE
396,396,689,26:45.0,34:02.4,0 days 00:07:17.436218,relu,128,0.1,8.58E-07,0.99,0.99,0.000101506,0.9,20,2048,medium,TRUE,3.09E-06,COMPLETE
145,145,681,23:43.4,49:05.6,0 days 01:25:22.244001,relu,8,0.3,1.37E-06,0.99,0.995,3.40E-05,0.7,20,2048,medium,TRUE,6.29E-06,COMPLETE
109,109,678,41:39.9,45:31.1,0 days 00:03:51.191645,relu,256,0.3,1.11E-07,0.99,0.99,1.73E-05,0.9,20,2048,medium,TRUE,1.71E-06,COMPLETE
160,160,678,30:24.0,49:40.7,0 days 00:19:16.683196,relu,32,0.3,6.05E-07,0.99,0.995,4.17E-05,0.8,20,2048,medium,TRUE,4.72E-07,COMPLETE
492,492,676,28:26.0,44:01.7,0 days 00:15:35.731388,tanh,32,0.1,2.96E-07,0.99,0.99,1.85E-05,0.8,20,2048,medium,TRUE,1.04E-07,COMPLETE
263,263,672,49:14.2,05:14.8,0 days 00:16:00.566984,relu,32,0.1,1.61E-06,0.99,0.995,1.24E-05,0.8,20,512,medium,TRUE,3.90E-06,COMPLETE
184,184,668,53:37.5,09:34.5,0 days 00:15:57.039432,tanh,32,0.1,1.31E-06,0.99,0.999,1.01E-05,0.6,20,1024,medium,TRUE,1.62E-07,COMPLETE
283,283,665,40:48.2,06:31.2,0 days 01:25:42.991283,relu,8,0.1,2.24E-08,0.99,0.995,4.67E-05,0.6,20,512,medium,TRUE,3.02E-06,COMPLETE
511,511,662,59:52.0,04:03.0,0 days 00:04:11.049026,tanh,256,0.3,4.10E-08,0.98,0.99,1.68E-05,0.3,20,2048,medium,TRUE,0.000408502,COMPLETE
195,195,660,44:17.9,01:28.6,0 days 00:17:10.697273,relu,32,0.3,2.39E-07,0.99,0.995,1.43E-05,0.7,20,2048,medium,TRUE,6.03E-07,COMPLETE
166,166,654,56:48.7,16:54.0,0 days 00:20:05.217010,relu,32,0.1,1.11E-06,0.99,0.995,2.91E-05,0.8,20,2048,medium,TRUE,2.11E-07,COMPLETE
267,267,653,33:25.8,49:34.4,0 days 00:16:08.593363,relu,32,0.1,1.52E-06,0.99,0.99,1.17E-05,0.8,20,512,medium,TRUE,8.97E-06,COMPLETE
360,360,652,41:32.8,45:25.0,0 days 00:03:52.161254,relu,256,0.3,2.98E-08,0.99,0.995,2.22E-05,1,20,2048,medium,TRUE,0.000219382,COMPLETE
246,246,651,08:45.1,13:22.8,0 days 00:04:37.619501,relu,256,0.3,6.26E-08,0.99,0.995,1.26E-05,0.5,20,2048,medium,TRUE,2.85E-06,COMPLETE
95,95,650,19:20.0,26:08.4,0 days 00:06:48.329328,relu,128,0.3,2.73E-08,0.99,0.99,1.22E-05,0.9,20,2048,medium,TRUE,3.59E-06,COMPLETE
136,136,648,58:20.3,01:51.0,0 days 00:03:30.684684,relu,256,0.3,8.08E-07,0.99,0.995,1.46E-05,0.7,20,2048,medium,TRUE,8.90E-07,COMPLETE
170,170,647,42:14.8,58:26.8,0 days 00:16:11.968397,tanh,32,0.1,2.58E-06,0.99,0.995,2.11E-05,0.5,20,2048,medium,TRUE,2.11E-07,COMPLETE
318,318,645,08:53.6,06:05.9,0 days 00:57:12.275236,tanh,8,0.1,1.21E-07,0.99,0.995,1.24E-05,0.5,20,512,medium,TRUE,7.41E-07,COMPLETE
134,134,643,53:02.3,56:48.1,0 days 00:03:45.747515,relu,256,0.3,1.83E-07,0.99,0.995,1.95E-05,0.7,20,2048,medium,TRUE,1.49E-06,COMPLETE
102,102,642,16:22.2,19:58.4,0 days 00:03:36.195174,relu,256,0.3,3.34E-08,0.99,0.99,3.44E-05,0.9,20,2048,medium,TRUE,6.93E-06,COMPLETE
103,103,642,19:58.4,23:57.9,0 days 00:03:59.574106,relu,256,0.3,1.04E-08,0.99,0.99,1.81E-05,0.9,20,2048,medium,TRUE,2.75E-06,COMPLETE
221,221,637,57:40.8,14:09.3,0 days 00:16:28.490353,tanh,32,0.1,2.74E-06,0.99,0.995,1.62E-05,0.5,20,2048,medium,TRUE,2.21E-07,COMPLETE
367,367,635,46:32.1,06:06.0,0 days 00:19:33.916470,relu,32,0.3,5.85E-06,0.99,0.995,3.90E-05,1,20,2048,medium,TRUE,0.000391566,COMPLETE
305,305,634,54:58.6,12:20.3,0 days 00:17:21.663692,relu,32,0.3,0.001560611,0.99,0.995,1.43E-05,0.8,20,2048,medium,TRUE,1.11E-06,COMPLETE
118,118,633,07:48.5,11:52.3,0 days 00:04:03.798461,relu,256,0.3,1.90E-07,0.99,0.99,1.40E-05,0.9,20,2048,medium,TRUE,2.85E-06,COMPLETE
234,234,632,08:46.6,12:48.0,0 days 00:04:01.442886,relu,256,0.3,8.73E-07,0.99,0.995,1.61E-05,0.7,20,2048,medium,TRUE,1.25E-06,COMPLETE
562,562,632,43:57.6,52:51.5,0 days 00:08:53.924070,relu,128,0.3,4.46E-07,0.99,0.995,2.39E-05,0.5,20,2048,large,TRUE,0.019372415,COMPLETE
178,178,626,38:57.3,55:46.8,0 days 00:16:49.497074,tanh,32,0.1,9.89E-07,0.99,0.995,3.68E-05,0.5,20,1024,medium,TRUE,1.04E-07,COMPLETE
222,222,624,14:09.3,30:18.1,0 days 00:16:08.744455,tanh,32,0.1,2.04E-06,0.99,0.995,2.00E-05,0.5,20,2048,medium,TRUE,1.36E-07,COMPLETE
172,172,619,15:38.0,32:23.1,0 days 00:16:45.080488,tanh,32,0.1,1.44E-06,0.99,0.995,1.22E-05,0.5,20,2048,medium,TRUE,2.59E-07,COMPLETE
199,199,618,29:32.5,45:54.7,0 days 00:16:22.215407,tanh,32,0.3,3.97E-07,0.99,0.995,1.22E-05,0.5,20,2048,medium,TRUE,2.44E-07,COMPLETE
122,122,616,21:08.2,24:51.6,0 days 00:03:43.402774,relu,256,0.3,2.06E-07,0.99,0.99,1.04E-05,0.9,20,2048,medium,TRUE,1.14E-06,COMPLETE
612,612,616,43:28.7,10:11.2,0 days 00:26:42.483440,relu,32,0.3,7.69E-07,0.99,0.99,0.000215208,0.9,20,2048,medium,TRUE,0.000191193,COMPLETE
289,289,613,06:12.7,24:27.0,0 days 00:18:14.295832,relu,32,0.1,1.35E-06,0.99,0.995,2.34E-05,0.6,20,512,medium,TRUE,1.09E-05,COMPLETE
232,232,612,03:29.3,07:14.2,0 days 00:03:44.846938,relu,256,0.3,5.29E-07,0.99,0.995,2.31E-05,0.7,20,2048,medium,TRUE,2.70E-06,COMPLETE
120,120,611,13:37.2,17:22.4,0 days 00:03:45.176706,relu,256,0.3,1.62E-07,0.99,0.99,1.00E-05,0.9,20,2048,medium,TRUE,8.42E-07,COMPLETE
272,272,610,16:40.2,23:13.6,0 days 00:06:33.347202,relu,128,0.1,9.00E-07,1,0.99,1.02E-05,0.8,20,512,medium,TRUE,2.77E-06,COMPLETE
