,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_ortho_init,params_vf_coef,state
70,70,112,56:58.1,02:43.6,0 days 00:05:45.491042,tanh,64,0.4,4.03E-08,0.98,0.995,0.000121136,0.9,10,512,large,FALSE,0.000496797,COMPLETE
101,101,102,25:37.9,32:32.4,0 days 00:06:54.441405,relu,64,0.4,1.68E-07,0.98,0.995,0.000155074,0.9,10,512,large,FALSE,0.015826432,COMPLETE
146,146,102,49:32.8,26:08.3,0 days 00:36:35.531468,relu,16,0.4,1.19E-07,0.98,0.995,0.000310188,0.9,10,2048,large,FALSE,0.00743335,COMPLETE
74,74,101,14:19.8,20:12.7,0 days 00:05:52.850619,tanh,64,0.4,7.68E-08,0.98,0.995,0.0003512,0.9,10,512,large,FALSE,0.000904132,COMPLETE
276,276,90,14:14.8,19:43.7,0 days 00:05:28.853919,relu,128,0.4,2.04E-07,0.98,0.995,0.000345173,0.9,10,512,large,FALSE,0.000550332,COMPLETE
94,94,88,40:44.3,47:40.6,0 days 00:06:56.329804,relu,64,0.4,7.68E-07,0.98,0.995,0.000175887,0.9,10,512,large,FALSE,0.015258919,COMPLETE
314,314,88,13:47.5,18:38.1,0 days 00:04:50.588431,relu,64,0.3,1.26E-07,0.98,0.995,0.00057469,0.5,5,2048,large,FALSE,0.00089248,COMPLETE
63,63,87,24:46.1,30:34.7,0 days 00:05:48.558198,tanh,64,0.4,6.36E-08,0.98,0.995,0.000228839,0.9,10,512,large,FALSE,0.000737366,COMPLETE
11,11,81,23:10.6,30:05.1,0 days 00:06:54.433458,relu,64,0.4,9.41E-08,0.99,0.99,0.000755562,5,20,256,small,FALSE,0.003656212,COMPLETE
60,60,81,10:20.5,16:10.1,0 days 00:05:49.610661,tanh,64,0.4,3.59E-08,0.98,0.995,0.000225909,0.9,10,512,large,FALSE,0.001517672,COMPLETE
72,72,80,05:35.9,11:27.7,0 days 00:05:51.824586,tanh,64,0.4,7.22E-08,0.98,0.995,0.000249887,0.9,10,512,large,FALSE,0.001023576,COMPLETE
104,104,80,43:19.8,50:58.3,0 days 00:07:38.461577,relu,64,0.4,1.04E-07,0.98,0.995,0.000520516,0.5,10,512,large,FALSE,0.004688526,COMPLETE
214,214,80,35:45.8,46:56.1,0 days 00:11:10.302571,tanh,64,0.4,4.08E-07,0.98,0.995,8.76E-05,0.9,20,512,large,FALSE,0.000127061,COMPLETE
22,22,77,14:27.4,29:01.5,0 days 00:14:34.183925,relu,16,0.4,8.66E-08,0.95,0.999,0.000478117,1,5,32,large,FALSE,0.002433609,COMPLETE
59,59,77,05:53.8,10:20.5,0 days 00:04:26.705314,relu,64,0.4,1.75E-07,0.98,0.995,0.001053838,0.9,5,512,large,FALSE,0.012915883,COMPLETE
105,105,77,50:58.3,58:32.9,0 days 00:07:34.664270,relu,64,0.4,7.95E-08,0.99,0.99,0.000522094,0.5,10,512,large,FALSE,0.002632924,COMPLETE
