,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_ent_coef,params_gae_lambda,params_gamma,params_lr,params_max_grad_norm,params_n_steps,params_net_arch,params_normalize_advantage,params_ortho_init,params_vf_coef,state
0,0,1.0,2023-04-26 23:26:06.532453,2023-04-26 23:27:15.683870,0 days 00:01:09.151417,relu,0.006818335368954215,0.995,0.99,0.00015900549828964448,0.4817940044254084,128,large,False,True,0.48213248212207793,COMPLETE
1,1,0.0,2023-04-26 23:27:15.684870,2023-04-26 23:28:37.215031,0 days 00:01:21.530161,relu,0.00021617543798502475,0.995,0.999,0.00260876911358765,2.799902688168293,16,small,True,True,0.22731311315921446,COMPLETE
2,2,4.0,2023-04-26 23:28:37.217028,2023-04-26 23:29:39.159840,0 days 00:01:01.942812,tanh,0.0149525521479283,0.9,0.995,0.007484772902426166,3.8732440510891553,128,tiny,False,True,0.30225784254651944,COMPLETE
3,3,1.0,2023-04-26 23:29:39.160839,2023-04-26 23:30:46.437383,0 days 00:01:07.276544,tanh,0.0013756404844543766,0.9999,0.999,0.0003397726253137245,4.661941307102299,256,small,False,False,0.807454417133363,COMPLETE
4,4,16.0,2023-04-26 23:30:46.440385,2023-04-26 23:32:11.150852,0 days 00:01:24.710467,tanh,0.0008259194839925162,0.999,0.999,0.0008468235898930719,0.4030535489271898,64,large,True,True,0.12138297806427724,COMPLETE
5,5,143.0,2023-04-26 23:32:11.152858,2023-04-26 23:33:41.832605,0 days 00:01:30.679747,tanh,2.908642966166457e-06,0.999,0.9,1.054462651762422e-05,0.35031355245043583,64,large,True,False,0.11104130423864174,COMPLETE
6,6,70.0,2023-04-26 23:33:41.834606,2023-04-26 23:35:16.527232,0 days 00:01:34.692626,tanh,2.05066880430711e-06,0.999,0.9,1.1242644658017059e-05,0.3001966165479721,32,large,True,False,0.10635961187275102,COMPLETE
7,7,1.0,2023-04-26 23:35:16.529235,2023-04-26 23:36:15.310403,0 days 00:00:58.781168,tanh,1.878498004718803e-06,0.99,0.9,1.4302211446874766e-05,0.8937178055490996,1024,tiny,True,False,0.18533234629268486,PRUNED
8,8,0.0,2023-04-26 23:36:15.311402,2023-04-26 23:37:24.160313,0 days 00:01:08.848911,relu,3.321182508974801e-05,0.95,0.98,5.304822032437819e-05,0.8110439823492788,64,large,True,False,0.15971816142125905,PRUNED
9,9,1.0,2023-04-26 23:37:24.161315,2023-04-26 23:38:21.092081,0 days 00:00:56.930766,tanh,2.444065225906471e-05,0.98,0.9999,4.540417046523181e-05,1.7899084819433715,512,large,True,False,0.10202297683320775,PRUNED
10,10,0.0,2023-04-26 23:38:21.093081,2023-04-26 23:39:13.913402,0 days 00:00:52.820321,relu,0.13233163818734686,0.999,0.9,5.35024172590737e-05,0.6779206591330815,64,small,False,False,0.29150446792332224,PRUNED
11,11,1.0,2023-04-26 23:39:13.914404,2023-04-26 23:40:06.615901,0 days 00:00:52.701497,tanh,1.028201770905353e-06,0.999,0.9,1.2761427682234583e-05,0.3035753904272494,32,large,True,False,0.10462601775836664,PRUNED
12,12,1.0,2023-04-26 23:40:06.616899,2023-04-26 23:40:58.843625,0 days 00:00:52.226726,tanh,5.3912881992228565e-06,0.999,0.9,1.1347331325617387e-05,0.31320597280461937,32,large,True,False,0.14792972389676595,PRUNED
13,13,0.0,2023-04-26 23:40:58.844623,2023-04-26 23:41:57.349118,0 days 00:00:58.504495,tanh,6.837378339119634e-06,0.999,0.9,3.245215757111127e-05,0.5143297244569947,32,large,True,False,0.14215857073034457,PRUNED
14,14,1.0,2023-04-26 23:41:57.350115,2023-04-26 23:42:46.422497,0 days 00:00:49.072382,tanh,1.0300186914631792e-06,0.98,0.9999,0.0001634610596498898,1.2568074929707054,1024,large,True,False,0.1938594575394969,PRUNED
15,15,1.0,2023-04-26 23:42:46.423492,2023-04-26 23:43:29.573749,0 days 00:00:43.150257,tanh,5.7163817289693524e-05,0.9,0.98,1.0740353482561746e-05,0.4350272653084877,256,tiny,True,False,0.12736010682307888,PRUNED
16,16,0.0,2023-04-26 23:43:29.574753,2023-04-26 23:44:28.085503,0 days 00:00:58.510750,tanh,6.464028328228334e-06,0.95,0.99,3.313894821125601e-05,0.6449745042247585,16,large,True,False,0.10520748205862278,PRUNED
17,17,1.0,2023-04-26 23:44:28.086502,2023-04-26 23:45:17.357781,0 days 00:00:49.271279,tanh,0.00014942761954479482,0.9999,0.995,2.3154417248408556e-05,0.31249679419603377,512,large,True,False,0.21770886312161444,PRUNED
18,18,1.0,2023-04-26 23:45:17.359778,2023-04-26 23:46:05.624357,0 days 00:00:48.264579,relu,1.3899940671430114e-05,0.99,0.9,8.784225570706311e-05,0.4132060782675214,32,small,False,True,0.16118629073006013,PRUNED
19,19,1.0,2023-04-26 23:46:05.625360,2023-04-26 23:46:49.228294,0 days 00:00:43.602934,tanh,7.089484061046358e-05,0.999,0.9,1.9890462450156217e-05,0.6377679352140958,64,tiny,True,False,0.12514791191767233,PRUNED
20,20,42.0,2023-04-26 23:46:49.229295,2023-04-26 23:48:05.775381,0 days 00:01:16.546086,tanh,6.606105272921155e-06,0.999,0.9,2.252959193511781e-05,1.1979284323799364,64,large,True,False,0.23675304673845038,COMPLETE
21,21,22.0,2023-04-26 23:48:05.776383,2023-04-26 23:49:20.449343,0 days 00:01:14.672960,tanh,3.551559253113242e-06,0.999,0.9,1.9222795444118837e-05,1.1317772477098014,64,large,True,False,0.25322516697608083,COMPLETE
22,22,4.0,2023-04-26 23:49:20.451343,2023-04-26 23:50:11.577430,0 days 00:00:51.126087,tanh,1.1927546915587618e-05,0.999,0.9,1.0163471222723166e-05,1.9151171712330748,64,large,True,False,0.18011331926222854,PRUNED
